label,step,mean_inventory,std_inventory,mean_mid,std_mid,n_episodes
No relative_depth,0,12000.0,0.0,586.0226000000001,0.09241774721340004,250
No relative_depth,1,11980.8,150.570116557038,586.0226600000002,0.09149330248711877,250
No relative_depth,2,11961.6,211.19999999999987,586.0203999999997,0.093178538301479,250
No relative_depth,3,11937.6,266.4324304584561,586.0195599999997,0.09329633647684187,250
No relative_depth,4,11923.2,293.7035239829444,586.0228200000005,0.09569403116182197,250
No relative_depth,5,11884.8,353.50949067882163,586.0197400000001,0.09362388797737214,250
No relative_depth,6,11817.6,430.8250689084838,586.0185199999996,0.09520614265897183,250
No relative_depth,7,11750.4,487.05219432828846,586.0201800000003,0.09469882575829773,250
No relative_depth,8,11659.2,541.1241632010166,586.01484,0.09893722454162696,250
No relative_depth,9,11522.688,599.6559602438713,586.0134600000001,0.09931831855201484,250
No relative_depth,10,11365.248,627.0016861986895,586.0080600000002,0.10043871962545109,250
No relative_depth,11,11142.528,622.2094383855012,586.0034800000003,0.10192786468871133,250
No relative_depth,12,10978.984,619.0464407005347,585.9998800000002,0.10293486095585234,250
No relative_depth,13,10831.696,629.5500771058657,585.9991000000003,0.10271947235066356,250
No relative_depth,14,10704.356,651.131087619076,585.9969199999999,0.10255687982772525,250
No relative_depth,15,10571.324,669.7176741164876,585.9924600000002,0.10576317128377154,250
No relative_depth,16,10385.76,679.5455528513163,585.9895999999997,0.10374603606885816,250
No relative_depth,17,10236.888,731.6322651824481,585.9853200000006,0.10827048351235498,250
No relative_depth,18,10050.472,800.2964208441759,585.98104,0.11096359042496537,250
No relative_depth,19,9866.36,853.0831556184881,585.9810000000001,0.10984716655426467,250
No relative_depth,20,9675.7,890.722422531285,585.9762999999998,0.11220966981503887,250
No relative_depth,21,9495.72,927.1726967507192,585.9745599999992,0.11517815070576211,250
No relative_depth,22,9315.832,978.6423022616601,585.9701,0.11589171670140558,250
No relative_depth,23,9100.16,978.3278828695433,585.96784,0.11400058947215852,250
No relative_depth,24,8896.172,1024.7806625888284,585.9607199999999,0.11550533147868099,250
No relative_depth,25,8635.1,1058.8063288439482,585.9575799999998,0.11867874114600468,250
No relative_depth,26,8349.832,1087.5130287844834,585.9514400000003,0.1202885131673028,250
No relative_depth,27,8052.828,1077.1104188596455,585.9423799999998,0.12708987213779105,250
No relative_depth,28,7684.604,1036.4732968986707,585.9349600000003,0.1309457842009438,250
No relative_depth,29,7375.552,1010.6243136279681,585.9303599999998,0.13180997837795988,250
No relative_depth,30,7080.876,993.2239770686163,585.9163400000001,0.13380323015533202,250
No relative_depth,31,6737.932,917.8655628010016,585.9073,0.13429448983483894,250
No relative_depth,32,6422.436,853.6691056281697,585.8941600000002,0.1388074003790924,250
No relative_depth,33,6109.848,777.8672026098031,585.8863000000001,0.13576232909020663,250
No relative_depth,34,5818.272,700.6141291866734,585.8800599999998,0.14293108969010648,250
No relative_depth,35,5534.176,622.9549783282898,585.8697400000001,0.14594667656373592,250
No relative_depth,36,5272.56,545.2516321846272,585.8629599999999,0.1498100076763947,250
No relative_depth,37,5031.388,466.81650083946266,585.8575200000004,0.15177302000026213,250
No relative_depth,38,4805.488,402.87658886562264,585.8496399999998,0.15283805285333885,250
No relative_depth,39,4581.4,379.69978667362994,585.8443000000001,0.1563534777355488,250
No relative_depth,40,4319.488,388.9972568746467,585.83288,0.16144071853160277,250
No relative_depth,41,3983.888,383.50651031762146,585.8211400000005,0.16485690886341667,250
No relative_depth,42,3624.848,336.59862283734907,585.8139799999994,0.1654686060858682,250
No relative_depth,43,3286.384,313.0516579480135,585.80422,0.17439865710492114,250
No relative_depth,44,2959.688,318.46692552916704,585.79248,0.1795423337266184,250
No relative_depth,45,2590.42,335.39917054161,585.7791799999994,0.18857154504325638,250
No relative_depth,46,2227.82,342.1019783631776,585.7717800000005,0.194417415886538,250
No relative_depth,47,1888.608,321.2151776239722,585.7628400000004,0.19857878637961446,250
No relative_depth,48,1566.168,305.0496414946264,585.7541599999998,0.20184522387215242,250
No relative_depth,49,1291.816,301.9283327943901,585.7476600000001,0.20119548802098042,250
No relative_depth,50,0.0,0.0,585.7196999999999,0.20203071548653714,250
