episode,Tabular Q-Learning,Vanilla DQN,DQN + Replay
682,-470.38,-500.0,-500.0
683,-471.83,-500.0,-500.0
684,-471.83,-500.0,-500.0
685,-471.83,-500.0,-500.0
686,-471.28,-500.0,-500.0
687,-471.28,-500.0,-500.0
688,-471.09,-500.0,-500.0
689,-470.6,-500.0,-500.0
690,-470.09,-500.0,-500.0
691,-470.09,-500.0,-500.0
692,-468.32,-500.0,-500.0
693,-468.32,-500.0,-500.0
694,-468.32,-500.0,-500.0
695,-468.13,-500.0,-500.0
696,-468.13,-500.0,-500.0
697,-468.13,-500.0,-500.0
698,-468.13,-500.0,-500.0
699,-468.13,-500.0,-500.0
700,-468.13,-500.0,-500.0
701,-468.45,-500.0,-500.0
702,-468.45,-500.0,-500.0
703,-469.23,-500.0,-500.0
704,-469.23,-500.0,-500.0
705,-470.0,-500.0,-500.0
706,-470.0,-500.0,-500.0
707,-469.78,-500.0,-500.0
708,-469.78,-500.0,-500.0
709,-469.78,-500.0,-500.0
710,-469.78,-500.0,-500.0
711,-469.78,-500.0,-500.0
712,-469.78,-500.0,-500.0
713,-472.18,-500.0,-500.0
714,-472.18,-500.0,-500.0
715,-472.18,-500.0,-500.0
716,-472.18,-500.0,-500.0
717,-473.61,-500.0,-500.0
718,-473.61,-500.0,-500.0
719,-473.88,-500.0,-500.0
720,-473.24,-500.0,-500.0
721,-471.88,-500.0,-500.0
722,-471.88,-500.0,-500.0
723,-471.88,-500.0,-500.0
724,-471.88,-500.0,-500.0
725,-469.7,-500.0,-500.0
726,-469.7,-500.0,-500.0
727,-469.7,-500.0,-500.0
728,-469.24,-500.0,-500.0
729,-470.23,-500.0,-500.0
730,-472.13,-500.0,-500.0
731,-473.88,-500.0,-500.0
732,-473.3,-500.0,-500.0
733,-475.4,-500.0,-500.0
734,-476.53,-500.0,-500.0
735,-474.98,-500.0,-500.0
736,-475.08,-500.0,-500.0
737,-475.08,-500.0,-500.0
738,-474.71,-500.0,-500.0
739,-474.12,-500.0,-500.0
740,-475.81,-500.0,-500.0
741,-475.81,-500.0,-500.0
742,-477.07,-500.0,-499.74
743,-477.07,-500.0,-496.84
744,-477.54,-500.0,-495.18
745,-475.83,-500.0,-493.93
746,-475.1,-500.0,-490.89
747,-475.1,-500.0,-488.97
748,-475.1,-500.0,-486.96
749,-475.1,-500.0,-483.84
750,-475.1,-500.0,-481.13
751,-472.45,-500.0,-478.02
752,-471.87,-500.0,-475.2
753,-472.51,-500.0,-472.44
754,-471.63,-500.0,-469.81
755,-471.96,-500.0,-466.74
756,-471.96,-500.0,-463.54
757,-470.75,-500.0,-460.66
758,-470.75,-500.0,-457.7
759,-470.75,-500.0,-455.04
760,-470.75,-500.0,-452.01
761,-470.2,-500.0,-449.33
762,-469.33,-500.0,-445.8
763,-469.33,-500.0,-442.53
764,-469.33,-500.0,-439.03
765,-467.88,-500.0,-436.12
766,-468.37,-500.0,-433.29
767,-468.37,-500.0,-430.32
768,-469.35,-500.0,-427.47
769,-468.77,-500.0,-424.6
770,-468.29,-500.0,-421.06
771,-468.29,-500.0,-417.64
772,-468.72,-500.0,-414.63
773,-468.48,-500.0,-411.32
774,-468.48,-500.0,-408.17
775,-468.48,-500.0,-404.71
776,-468.48,-500.0,-401.41
777,-468.48,-500.0,-398.12
778,-468.48,-500.0,-395.08
779,-468.61,-500.0,-391.82
780,-470.52,-500.0,-389.47
781,-470.52,-500.0,-389.47
